> -L"Wang_NAP_South_Boundary"
-62.98639596	19.4767599762
-65.7595315845	19.7871675865
-67.4043751632	19.7062734924
-68.8792714544	19.6058441727
-70.2824229404	19.940237125
-71.424809159	20.239859859
-72.5240338423	20.3034339193
-73.729132226	20.1734466326
-74.7405320492	19.8868478963
-76.413286382	19.7459169824
-78.2062224701	19.5544360034
-79.5479532764	19.3954487927
-81.0754711902	18.9885163525
-81.7723113157	18.8363623687
-81.7219266525	18.3434129745
-81.8246183576	18.1766731913
-81.8295509733	17.8193924972
-83.7428797466	17.6301038028
-84.1953416622	17.5382510458
-85.0695468718	17.2290155056
-86.1323440443	16.8313385446
-87.0123550201	16.4739402737
-87.9428977325	16.1267937481
-88.5846133062	15.7994129214
-89.0209537894	15.5314006883
-89.4435100576	15.3357005934
-89.9427951175	15.1248273862
-90.4264715896	14.8595067954
-90.5999668884	14.7248277377
-90.6672942558	14.588970164
-90.7239482804	14.3604342983
-90.7516436911	14.0997153364
-90.7503267927	13.6179325953
-90.7637699347	13.2835907215
-90.8133400829	12.9778384976
-90.8670968013	12.6108591401
-92.4095845532	13.3854324614
-93.6226808557	14.0097155088
-94.8632948913	14.6756581002
-95.5586405124	15.1197077491
-95.9110205394	15.3144306404
-96.309159717	15.266714743
-96.9121042943	15.2637912766
-97.6572748012	15.4133860206
-99.1851951987	15.9945769807
-99.8073374166	16.2608261019
-100.568199038	16.4752708324
-101.515696967	16.863646361
-102.116656974	17.0924214057
-103.030240931	17.462721001
-104.096126314	17.9894939782
-104.914685383	18.5280560855
-105.884829002	19.2161029023
-106.193160514	19.588294268
-106.422704027	20.290721912
-106.469576743	20.9544594371
-106.752012383	21.4740771978
-107.00677018	21.7748274271
-107.626386946	21.7501907313
-107.935228775	21.6750133032
-108.672923075	21.935622799
-108.529197294	22.1343103864
-108.511166411	22.3283082425
-108.088559017	22.9225230901
-108.639277807	23.2459022446
-108.381102915	23.6209322335
-109.263219489	24.3908546333
-109.071693268	24.6730162626
-109.996761456	25.3328310729
-109.797319534	25.5810196786
-110.770570794	26.2422368743
-110.68619585	26.3874734963
-111.490663315	26.9397080662
-111.383830736	27.11506544
-111.578445602	27.205091436
-111.384256201	27.5150609105
-111.935628094	27.8351903123
-112.348099434	28.1179232232
-112.768368303	28.4580494157
-113.168944349	28.7965684835
-113.37704149	28.9666126619
-113.288157474	29.03356685
-113.610527248	29.2984761567
-113.864060668	29.524775825
-113.983937505	29.6437468
-113.77880834	29.8413319097
-114.048623121	30.1214944673
-113.828345415	30.3479168403
-114.453309171	31.1218796217
-114.122333476	31.3462608317
-114.516446643	31.7668052527
-114.826951605	32.0338406638
-115.162535744	32.3006249193
-115.350297237	32.4655416501
-115.217913516	32.5311226638
-115.428634721	32.7029054072
-115.599448671	32.8644805977
-115.53639143	32.9719674651
-115.721552969	33.1270829529
-115.614395531	33.2448548427
-115.777834373	33.3891559487
-116.179778817	33.7410911987
-116.572816092	34.0312445517
-116.832429028	34.1003442646
-117.24819527	34.1833994614
-117.639996904	34.3580594769
-118.061265422	34.5576619855
-118.37766223	34.6924691097
-118.842534552	34.8027644455
-119.07218416	34.8423960132
-119.326399634	34.9326493586
-119.542385324	35.0141177993
-119.835585004	35.3039875363
-120.290626842	35.6964157378
-120.312556233	35.7728462969
-120.457613056	35.8931463087
-121.052063279	36.4581657628
-121.257670724	36.6869987416
-121.646259815	36.9544318131
-122.06108494	37.2463279687
-122.405566794	37.5625285877
-122.593211378	37.754459849
-122.601278201	37.839985572
-122.952329861	38.2238214466
-123.252173594	38.5330799732
-123.634890156	38.9019058985
-123.861468177	39.240384346
-124.013321053	39.6298463577
-124.016654838	39.9186881145
-124.103323651	40.0518517255
-124.432032527	40.2236647087
-124.499207063	40.3034004666
-124.69619947	41.1696051168
-124.917004084	42.140459382
-125.008330671	42.9974871263
-125.058431479	43.6165671117
-125.087068983	44.3413348028
-125.000671633	44.9227184351
-124.935825818	45.6630176453
-124.969488628	46.3543394718
-125.214471755	46.982729047
-125.511627288	47.6223389768
-125.987482103	48.2656847987
-126.411274881	48.6692396742
