Station	Long	Lat	Dur_E	Dur_N	Dur_U	GOM25_Vel_E	GOM25_Vel_N	GOM25_Vel_U	IGS20_Vel_E	IGS20_Vel_N	IGS20_Vel_U	Diff_Vel_E	Diff_Vel_N	Diff_Vel_U
MSOX	-89.532	34.364	13.860	12.530	8.740	0.500	-0.000	-0.100	-13.200	-0.200	-0.800	13.700	0.200	0.700
MSST	-88.794	33.454	16.370	16.370	6.090	-0.000	-0.100	-0.100	-13.500	-0.000	-0.800	13.500	-0.100	0.700
MTNT	-80.907	25.866	14.700	22.080	14.750	0.000	0.500	0.700	-11.100	3.200	-0.200	11.100	-2.700	0.900
MTY2	-100.313	25.716	15.650	15.650	15.650	0.300	0.400	0.200	-10.800	-3.600	-0.200	11.100	4.000	0.400
NCLA	-79.448	34.801	9.420	9.570	9.570	-0.100	-0.300	0.600	-13.700	3.100	-0.300	13.600	-3.400	0.900
NCLM	-78.965	34.605	9.570	9.570	9.570	-0.200	-0.100	0.700	-13.700	3.500	-0.300	13.500	-3.600	1.000
NCPO	-80.177	34.993	20.890	20.890	20.890	-0.300	-0.300	0.700	-13.900	2.900	-0.300	13.600	-3.200	1.000
OCLA	-82.104	29.182	7.920	8.090	8.090	0.200	-0.600	0.300	-11.900	1.800	-0.600	12.100	-2.400	0.900
OKAD	-96.738	34.800	18.260	22.910	22.910	-0.000	-0.700	0.600	-13.800	-3.400	-0.000	13.800	2.700	0.600
OKAN	-95.621	34.195	11.820	11.830	11.830	-0.000	-0.100	-0.200	-13.600	-2.400	-0.800	13.600	2.300	0.600
OKAR	-97.169	34.168	11.920	11.890	10.340	-0.300	-0.200	0.300	-13.900	-3.000	0.000	13.600	2.800	0.300
OKCB	-80.855	27.266	22.650	22.650	11.400	0.000	0.100	-0.100	-11.500	2.900	-1.000	11.500	-2.800	0.900
OKDN	-97.967	34.479	11.570	13.690	11.560	0.400	-0.700	0.600	-13.300	-3.900	0.000	13.700	3.200	0.600
OKHV	-94.618	34.913	7.430	16.210	21.990	0.000	0.200	0.400	-13.900	-1.800	-0.500	13.900	2.000	0.900
OKMA	-95.737	34.928	15.150	15.150	15.150	0.300	0.100	0.800	-13.500	-2.300	0.100	13.800	2.400	0.700
P804	-84.226	32.963	12.770	12.770	12.770	-0.000	-0.100	0.000	-13.300	1.600	-0.800	13.300	-1.700	0.800
RCDA	-81.874	27.220	8.090	8.070	8.090	0.200	-0.100	0.500	-11.400	2.400	-0.300	11.600	-2.500	0.800
SCAI	-81.720	33.562	7.100	7.100	7.100	-0.700	-0.300	0.200	-14.000	2.300	0.000	13.300	-2.600	0.200
